Date	Ticker	Change %	Stock Exchange
2026-06-16	OLN	-10.657	nyse stocks
2026-06-16	VCX	-9.911	nyse stocks
2026-06-16	RGTIW	-9.909	nasdaq stocks
2026-06-16	SITM	-9.844	nasdaq stocks
2026-06-16	SNAP	-9.79	nyse stocks
2026-06-16	COHR	-9.659	nyse stocks
2026-06-16	UP	-9.441	nyse stocks
2026-06-16	OLOX	-9.365	nasdaq stocks
2026-06-16	MPWR	-9.339	nasdaq stocks
2026-06-16	CBOE	-9.32	nyse stocks
2026-06-16	MIAX	-9.247	nyse stocks
2026-06-16	LCUT	-9.209	nasdaq stocks
2026-06-16	UPLD	-9.085	nasdaq stocks
2026-06-16	ELMT	-8.896	nasdaq stocks
2026-06-16	SERV	-8.889	nasdaq stocks
2026-06-16	SCLX	-8.856	nasdaq stocks
2026-06-16	BLSH	-8.848	nyse stocks
2026-06-16	PWRL	-8.781	nasdaq stocks
2026-06-16	GCO	-8.677	nyse stocks
2026-06-16	LITE	-8.672	nasdaq stocks
2026-06-16	DBVT	-8.575	nasdaq stocks
2026-06-16	DUOT	-8.562	nasdaq stocks
2026-06-16	KRRO	-8.498	nasdaq stocks
2026-06-16	TSAT	-8.437	nasdaq stocks
2026-06-16	IPWR	-8.36	nasdaq stocks
2026-06-16	RXT	-8.352	nasdaq stocks
2026-06-16	DMRC	-8.304	nasdaq stocks
2026-06-16	VECO	-8.293	nasdaq stocks
2026-06-16	FN	-8.087	nyse stocks
2026-06-16	METCB	-8.026	nasdaq stocks
2026-06-16	FORM	-7.995	nasdaq stocks
2026-06-16	MRLN	-7.971	nasdaq stocks
2026-06-16	ANL	-7.967	nasdaq stocks
2026-06-16	TSSI	-7.932	nasdaq stocks
2026-06-16	VIAV	-7.871	nasdaq stocks
2026-06-16	INFQ	-7.819	nyse stocks
2026-06-16	CUE	-7.782	nasdaq stocks
2026-06-16	LZB	-7.713	nyse stocks
2026-06-16	CV	-7.65	nasdaq stocks
2026-06-16	RFIL	-7.58	nasdaq stocks
2026-06-16	RCAT	-7.542	nasdaq stocks
2026-06-16	SPRB	-7.502	nasdaq stocks
2026-06-16	NNAVW	-7.384	nasdaq stocks
2026-06-16	AEHR	-7.377	nasdaq stocks
2026-06-16	CMCO	-7.371	nasdaq stocks
2026-06-16	ERAS	-7.277	nasdaq stocks
2026-06-16	AMPX	-7.246	nyse stocks
2026-06-16	AMD	-7.239	nasdaq stocks
2026-06-16	MU	-7.225	nasdaq stocks
2026-06-16	SUJA	-7.214	nasdaq stocks
2026-06-16	QBTS	-7.209	nyse stocks
2026-06-16	OLMA	-7.172	nasdaq stocks
2026-06-16	ATOM	-7.165	nasdaq stocks
2026-06-16	LYEL	-7.111	nasdaq stocks
2026-06-16	LTBR	-7.064	nasdaq stocks
2026-06-16	MNTS	-7.044	nasdaq stocks
2026-06-16	CAMT	-7.01	nasdaq stocks
